Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.77,6339,23392,3.69,14551,62.6%,28.2%,12.3%,26.6%,32.9%,71.8%,1.9%,45.0%,82.9%,26.1%,5.1%,325,12,15.2%,961,398,7.9%,499,270,270,686,28.0%,-9,0,0
ATL,5.24,6297,23326,3.70,14550,62.8%,23.5%,17.4%,28.0%,31.2%,76.5%,2.0%,48.1%,77.3%,35.6%,4.6%,289,18,14.7%,928,419,8.9%,559,323,282,880,24.1%,-13,0,0
BAL,4.74,6249,22954,3.67,14552,63.7%,27.3%,11.8%,27.8%,33.1%,72.7%,1.4%,46.3%,83.8%,27.1%,4.6%,289,4,14.0%,873,346,7.9%,496,286,233,644,26.5%,-9,0,0
BOS,5.06,6445,25265,3.92,15462,61.7%,29.6%,13.0%,27.4%,30.0%,70.4%,1.9%,43.4%,81.5%,24.9%,5.6%,364,24,16.0%,1032,371,10.5%,674,360,282,772,26.7%,-10,0,0
CHC,4.42,6165,22595,3.67,14548,64.7%,26.0%,13.6%,27.6%,32.9%,74.0%,1.2%,47.8%,81.7%,29.6%,4.1%,252,4,13.1%,810,321,8.1%,500,285,199,728,21.4%,-18,0,0
CHW,5.36,6340,23928,3.77,15073,63.3%,25.2%,14.6%,29.0%,31.2%,74.8%,1.2%,47.4%,80.5%,30.0%,5.1%,324,15,14.7%,930,359,8.6%,547,330,277,779,26.2%,-22,0,0
CIN,4.62,6307,24251,3.85,14872,61.8%,28.0%,15.8%,26.5%,29.8%,72.0%,2.0%,44.5%,78.1%,27.7%,5.9%,374,21,15.1%,952,329,9.9%,623,336,292,892,24.5%,-11,0,0
CLE,5.37,6313,24310,3.85,15172,62.8%,27.5%,15.5%,27.4%,29.6%,72.5%,1.6%,45.5%,78.7%,27.5%,4.8%,300,23,14.1%,892,339,8.3%,522,295,299,905,24.8%,-10,0,0
COL,5.02,6368,24022,3.77,15158,63.7%,26.6%,14.1%,28.9%,30.5%,73.4%,2.6%,46.8%,80.9%,29.3%,5.1%,324,12,14.4%,919,361,8.2%,520,285,314,786,28.3%,-20,0,0
DET,5.07,6211,23153,3.73,14829,64.3%,23.8%,16.3%,29.0%,31.0%,76.2%,1.2%,49.0%,78.6%,31.4%,4.3%,266,26,13.3%,825,364,7.9%,489,307,234,897,20.7%,-13,0,0
FLA,4.68,6208,23381,3.77,14784,63.8%,26.3%,17.5%,26.7%,29.6%,73.7%,2.4%,47.0%,76.3%,31.0%,4.8%,297,12,13.9%,861,337,8.5%,526,319,325,920,26.0%,-17,0,0
HOU,4.54,6335,23988,3.79,14827,62.3%,26.5%,14.4%,28.1%,31.0%,73.5%,2.1%,45.8%,80.4%,29.9%,5.4%,343,52,15.8%,1004,406,9.0%,572,297,286,786,26.6%,-9,0,0
KCR,4.67,6241,23000,3.69,14650,64.0%,26.1%,13.9%,28.2%,31.7%,73.9%,1.4%,47.3%,81.2%,30.6%,4.3%,268,18,13.2%,825,347,7.6%,473,265,275,765,26.4%,-12,0,0
LAA,4.73,6240,22743,3.64,14426,64.0%,25.9%,14.0%,27.0%,33.1%,74.1%,2.2%,47.4%,81.1%,28.8%,4.7%,296,31,14.2%,886,338,8.1%,507,260,196,716,21.4%,-19,0,0
LAD,5.06,6406,23777,3.71,14622,62.0%,26.5%,13.5%,27.3%,32.7%,73.5%,2.2%,45.6%,81.7%,29.9%,5.5%,350,16,15.7%,1008,412,9.7%,620,336,262,692,27.3%,-12,0,0
MIL,4.51,6146,23187,3.77,14641,63.6%,28.1%,16.7%,25.7%,29.5%,71.9%,2.0%,45.7%,76.7%,27.2%,4.8%,296,12,14.0%,862,319,8.3%,513,255,266,961,21.6%,-16,0,0
MIN,4.94,6246,23207,3.72,14643,63.6%,29.1%,11.8%,26.2%,32.9%,70.9%,2.0%,45.0%,83.4%,25.1%,5.2%,327,21,14.8%,925,287,8.6%,540,263,232,639,26.6%,-18,0,0
NYM,5.15,6306,23978,3.80,15060,63.4%,28.2%,14.0%,27.1%,30.6%,71.8%,2.4%,45.5%,80.4%,25.8%,5.5%,344,12,15.2%,958,356,9.1%,575,331,276,792,25.8%,-15,0,0
NYY,5.74,6470,24633,3.81,14990,61.2%,27.2%,14.0%,27.6%,31.2%,72.8%,1.5%,44.6%,80.8%,28.1%,5.4%,348,13,15.8%,1025,381,9.9%,638,320,287,765,27.3%,-15,0,0
OAK,4.76,6288,24345,3.87,14874,61.3%,29.8%,12.5%,26.8%,31.0%,70.2%,1.0%,43.0%,82.3%,25.9%,5.7%,356,13,16.3%,1027,351,10.5%,663,323,314,661,32.2%,-7,0,0
PHI,5.34,6516,24863,3.82,15275,62.1%,29.1%,14.7%,26.2%,30.0%,70.9%,2.6%,44.0%,79.3%,25.9%,5.3%,348,14,15.9%,1035,410,10.1%,656,335,334,860,27.8%,-7,0,0
PIT,4.27,6226,23409,3.76,15031,64.7%,27.9%,14.8%,27.5%,29.7%,72.1%,2.1%,46.6%,79.5%,26.9%,5.0%,309,8,13.5%,838,292,7.9%,494,292,308,889,25.7%,-8,0,0
SDP,4.51,6304,23889,3.79,14765,62.1%,27.2%,14.2%,27.5%,31.0%,72.8%,1.3%,45.2%,80.4%,28.5%,5.0%,315,11,14.8%,934,398,10.0%,629,350,306,792,27.7%,-17,0,0
SEA,4.67,6231,23046,3.70,14709,64.3%,25.0%,15.1%,27.5%,32.4%,75.0%,2.2%,48.2%,79.9%,25.6%,4.4%,275,26,14.6%,910,451,8.1%,502,323,171,803,17.6%,-18,0,0
SFG,4.63,6146,22048,3.59,13867,63.7%,25.6%,13.1%,27.3%,33.9%,74.4%,3.4%,47.4%,82.3%,30.5%,5.5%,340,11,14.4%,886,350,8.3%,512,278,223,663,25.0%,-10,0,0
STL,4.85,6233,23055,3.70,14492,63.5%,26.9%,13.1%,27.5%,32.5%,73.1%,2.9%,46.4%,82.1%,28.8%,5.4%,336,16,14.4%,900,315,8.7%,544,262,223,691,24.2%,-8,0,0
TBD,4.25,6060,22349,3.69,14302,64.2%,24.4%,16.7%,27.9%,31.1%,75.6%,1.0%,48.6%,78.0%,32.0%,4.8%,292,20,13.5%,818,345,7.7%,467,281,233,869,21.1%,-19,0,0
TEX,5.15,6281,23690,3.77,14877,63.1%,26.6%,14.6%,27.4%,31.4%,73.4%,1.3%,46.3%,80.1%,27.3%,4.7%,298,25,14.3%,901,383,8.8%,554,314,263,796,24.8%,-8,0,0
TOR,4.99,6251,23557,3.77,14864,63.4%,29.3%,11.9%,26.8%,32.0%,70.7%,1.3%,44.8%,83.2%,22.3%,5.2%,325,18,14.4%,898,314,9.0%,560,295,228,678,25.2%,-10,0,0
